estado,IDHM,IDHM Renda,IDHM Longevidade,IDHM Educação
Distrito Federal,0.824,0.863,0.873,0.742
São Paulo,0.783,0.789,0.845,0.719
Santa Catarina,0.774,0.773,0.86,0.697
Rio de Janeiro,0.761,0.782,0.835,0.675
Paraná,0.749,0.757,0.83,0.668
Rio Grande do Sul,0.746,0.769,0.84,0.642
Espírito Santo,0.74,0.743,0.835,0.653
Goiás,0.735,0.742,0.827,0.646
Minas Gerais,0.731,0.73,0.838,0.638
Mato Grosso do Sul,0.729,0.74,0.833,0.629
Mato Grosso,0.725,0.732,0.821,0.635
Amapá,0.708,0.694,0.813,0.629
Roraima,0.707,0.695,0.809,0.628
Tocantins,0.699,0.69,0.793,0.624
Rondônia,0.69,0.712,0.8,0.577
Rio Grande do Norte,0.684,0.678,0.792,0.597
Ceará,0.682,0.651,0.793,0.615
Amazonas,0.674,0.677,0.805,0.561
Pernambuco,0.673,0.673,0.789,0.574
Sergipe,0.665,0.672,0.781,0.56
Acre,0.663,0.671,0.777,0.559
Bahia,0.66,0.663,0.783,0.555
Paraíba,0.658,0.656,0.783,0.555
Piauí,0.646,0.635,0.777,0.547
Pará,0.646,0.646,0.789,0.528
Maranhão,0.639,0.612,0.757,0.562
Alagoas,0.631,0.641,0.755,0.52