colunas,IN_TREINEIRO,NU_ANO,Q001,Q002,Q003,Q004,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025,SG_UF_ESC,SG_UF_PROVA,TP_DEPENDENCIA_ADM_ESC,TP_ENSINO,TP_ESCOLA,TP_ESTADO_CIVIL,TP_LOCALIZACAO_ESC,TP_NACIONALIDADE,TP_SEXO,TP_SIT_FUNC_ESC,TP_ST_CONCLUSAO,falta
IN_TREINEIRO,1.0,1.0,0.18711418754508588,0.1919364696694458,0.1766529673630879,0.17836841851574195,0.1880455251913081,0.13586416308857904,0.18692859532205425,0.1420953586580915,0.16849619831796384,0.026219749347968994,0.08349307901740208,0.12325110326459181,0.08469931057544122,0.06708924491928782,0.0928920276058654,0.06726894364666053,0.12219861001908129,0.15418196787222127,0.07904578434130158,0.12011439168698106,0.11614277449719984,0.06662602693425512,0.12211545753468576,0.06271587800439038,1.0,0.06348243250211648,1.0,1.0,0.2358241531668303,0.11037397425738044,1.0,0.011880469706505355,0.02504853619370131,1.0,0.9999998037394503,0.10770778495238419
NU_ANO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q001,0.18711418754508588,1.0,1.0,0.33975205147282955,0.38777224960557966,0.2572657277332251,0.23350854427448905,0.18032598392027996,0.23364299903421054,0.14520239890544262,0.20794594509075487,0.03537370841698239,0.09360488010006489,0.14405063155069506,0.1552732907115985,0.08361789938013335,0.1489765991508488,0.1053099484873016,0.3367425772028996,0.18796331426036977,0.13298958865395633,0.3267268296936221,0.16560451134806284,0.2684644634798255,0.22625169781609167,0.2559374250041225,0.11048882544464045,0.08549822800072882,0.2585995658113911,0.014626413554531726,0.1822229350495328,0.08355791295257328,0.08710319105731634,0.019635246721516755,0.07199579562666239,0.01090536721946943,0.13166712290564286,0.12781097600773683
Q002,0.1919364696694458,1.0,0.33975205147282955,1.0,0.24382234600680042,0.34769155618844233,0.20285431898929876,0.16261135873366755,0.20681889805307038,0.13814928989943592,0.19026164163320766,0.017429493911990848,0.0807026593953145,0.12511341998250042,0.1368364184578246,0.07108320324947784,0.13200376963346783,0.08201613795742292,0.28187298128723043,0.1609044100888284,0.09791196386360046,0.2847954282042146,0.15264942478682267,0.2263591696222982,0.20091260665445243,0.24551238400520656,0.11164213407288018,0.0731243723232117,0.24324227486091118,0.01693855679709437,0.17028117583921895,0.10158578218650562,0.0757806024822233,0.01780404157933479,0.06992248251370443,0.011861175212473884,0.13498018355393415,0.13723814037916843
Q003,0.1766529673630879,1.0,0.38777224960557966,0.24382234600680042,1.0,0.41981816616395723,0.3202536591596867,0.22330545073973823,0.270420421084791,0.1610082164384065,0.23819686476445162,0.059616365609823946,0.1146144628589756,0.16071403534721285,0.1811089698382321,0.09582825123303221,0.17493749591830668,0.1213404968945658,0.3617375019586956,0.2213399886337689,0.14878070564260337,0.36036748287377574,0.18468226186353473,0.2948224022951416,0.24303575086059906,0.30056060157436676,0.15739682125139234,0.1264143371448947,0.2837949156446722,0.008604204848239417,0.1904160068272517,0.04663903401053169,0.16490384847807882,0.02052854409055293,0.06520781528646356,0.012858984515289789,0.11106385843438112,0.10053134023792168
Q004,0.17836841851574195,1.0,0.2572657277332251,0.34769155618844233,0.41981816616395723,1.0,0.297498945775677,0.22146671019620953,0.2505268581805637,0.15042680091009275,0.21909197125998509,0.05116396197011589,0.10488764934939178,0.14731335168974902,0.17447815207147577,0.08845873543357012,0.16588871250657525,0.10998905313115483,0.32414335262369437,0.19997438597924302,0.12748228234226944,0.33035669374593435,0.17263154717397947,0.26819493440785164,0.22787738035074406,0.2969164335648602,0.16304497500787207,0.12867497021753313,0.26454339648887853,0.008581361747796551,0.17742010125945246,0.05134833278204461,0.1633758005305528,0.019776692422925648,0.06430563517106581,0.01229869085282251,0.11249641237681068,0.1021744029595709
Q006,0.1880455251913081,1.0,0.23350854427448905,0.20285431898929876,0.3202536591596867,0.297498945775677,1.0,0.30022460439773807,0.3611524317136523,0.2384360794062038,0.34839281676173534,0.048978374544039555,0.16350335069351218,0.21827866464506768,0.24434225370937734,0.1307749909493149,0.2309113109647012,0.15932923605638144,0.4904032629215508,0.302074885087851,0.20112557153601973,0.46671537153980475,0.2685571198654854,0.38599758862941286,0.3385695495712253,0.40276310914826224,0.1202417809672317,0.09835044289647496,0.328579208620924,0.012453715675891144,0.21666365984549088,0.03171133329919075,0.08640795100806052,0.029402560408344068,0.10617818078469868,0.015115472552359333,0.11776116670986397,0.10597505693559044
Q007,0.13586416308857904,1.0,0.18032598392027996,0.16261135873366755,0.22330545073973823,0.22146671019620953,0.30022460439773807,1.0,0.28093812155146886,0.16696272166564563,0.21869272524822359,0.026428269173508094,0.13756124376085446,0.1440320038257149,0.09664441466834758,0.09289288363803702,0.11170007886717197,0.13603893813162116,0.23020486366208195,0.21656699189405984,0.1326794336776105,0.2632077095023482,0.11060256895259121,0.17343587671479585,0.19044785465954184,0.09765194122457681,0.05408997222480495,0.04768375937018143,0.19907824045706426,0.0032466720057942097,0.14097814026120623,0.022492781450483168,0.03128310129423457,0.009661902725992096,0.026513932244463016,0.008875420006953743,0.08600562320514597,0.04022975892092194
Q008,0.18692859532205425,1.0,0.23364299903421054,0.20681889805307038,0.270420421084791,0.2505268581805637,0.3611524317136523,0.28093812155146886,1.0,0.32454547428632835,0.3047978493699199,0.03933847830117818,0.21155632264960922,0.2102230346048307,0.1876382511339121,0.11344731159772563,0.19233597942961483,0.14951722281790267,0.41740340892986444,0.311762539230064,0.19639823640020296,0.38920420649761694,0.22120145599426705,0.3163532781968891,0.2702157365870118,0.2783854960614942,0.11728075041239198,0.09904649495660843,0.27932226368149593,0.008872624639906878,0.19194171986114142,0.03374474637014346,0.07146063468777232,0.019224935106864637,0.06257355951889583,0.0129408074929232,0.11791189554283273,0.10326197341998304
Q009,0.1420953586580915,1.0,0.14520239890544262,0.13814928989943592,0.1610082164384065,0.15042680091009275,0.2384360794062038,0.16696272166564563,0.32454547428632835,1.0,0.23272772924371254,0.068800526600211,0.16918267584727312,0.15890580034838225,0.14939787467177032,0.08817957343371431,0.14416399232049748,0.08165812498788387,0.2771696693541822,0.233109235372991,0.17217364500112559,0.26672090823479194,0.2587459817812039,0.2173345789425121,0.19306664587514524,0.2524649884992524,0.15411169798122218,0.11642006042072624,0.1508393041420899,0.011662937352680097,0.10770957638318457,0.06669262515587165,0.007761751711527045,0.01112236200837084,0.04693727368743201,0.007170826289902185,0.0986820739165971,0.10645465419970405
Q010,0.16849619831796384,1.0,0.20794594509075487,0.19026164163320766,0.23819686476445162,0.21909197125998509,0.34839281676173534,0.21869272524822359,0.3047978493699199,0.23272772924371254,1.0,0.05267274979980878,0.17216320091363504,0.2107483241496907,0.22528191158143804,0.12416845622477192,0.21744075208411315,0.12109402070738466,0.46399889304493275,0.2643149154552178,0.17277594398868237,0.371661563742048,0.2322623955129243,0.32891544449795435,0.266852460905088,0.3288148971875743,0.2220983155090558,0.1849947481598932,0.22552279924810753,0.011167132238672748,0.15688452560945798,0.030157137327011745,0.04874944925023821,0.017631531712890124,0.06896894694038147,0.009676134976017828,0.11423843448289467,0.09889310304800307
Q011,0.026219749347968994,1.0,0.03537370841698239,0.017429493911990848,0.059616365609823946,0.05116396197011589,0.048978374544039555,0.026428269173508094,0.03933847830117818,0.068800526600211,0.05267274979980878,1.0,0.04551516053022501,0.04278569074880425,0.06560225172936478,0.07446339620757943,0.06259901577575118,0.07238546799821882,0.03953968171770116,0.03580364180635997,0.03823106348406837,0.04618486298615816,0.06241655688177769,0.07231948271785042,0.03386759588384636,0.052568323329212074,0.09915148313914819,0.10186249257460502,0.038324879206386935,0.003951650811882029,0.027555804637830958,0.019024322723456496,0.047138640457312815,0.006229704500665746,0.048242171732283234,0.0011640606986752598,0.017900125777129034,0.018110232621189198
Q012,0.08349307901740208,1.0,0.09360488010006489,0.0807026593953145,0.1146144628589756,0.10488764934939178,0.16350335069351218,0.13756124376085446,0.21155632264960922,0.16918267584727312,0.17216320091363504,0.04551516053022501,1.0,0.28491328071872557,0.14876289407330706,0.10313496953716923,0.17874988097684585,0.10508955496802944,0.21632669446106245,0.2039047333557879,0.13478605326657997,0.19501211486796835,0.1343027161831327,0.16030884039339943,0.138872972232947,0.1533464318240562,0.07970193051717565,0.07119658591794767,0.10397509683624247,0.005102942648568383,0.07981901370562297,0.01968969145663366,0.03599852611326905,0.007588896097545001,0.035477908447699325,0.00596885659866932,0.05723096528253088,0.036877900106183685
Q013,0.12325110326459181,1.0,0.14405063155069506,0.12511341998250042,0.16071403534721285,0.14731335168974902,0.21827866464506768,0.1440320038257149,0.2102230346048307,0.15890580034838225,0.2107483241496907,0.04278569074880425,0.28491328071872557,1.0,0.20357493640476643,0.16332209484214444,0.20779714638788263,0.10994011979373758,0.3512835085983535,0.21404287659554308,0.17919194395469537,0.30087397004654526,0.17322294149649364,0.26399329883791295,0.18890917836368856,0.24668237710783508,0.19789098490154713,0.1668597117816349,0.15219263602539548,0.009593838345577203,0.11404839652923882,0.04649159622215095,0.04252952492182359,0.012853399323124345,0.033161021254874544,0.004519283099252597,0.09265899179226038,0.08113826710168347
Q014,0.08469931057544122,1.0,0.1552732907115985,0.1368364184578246,0.1811089698382321,0.17447815207147577,0.24434225370937734,0.09664441466834758,0.1876382511339121,0.14939787467177032,0.22528191158143804,0.06560225172936478,0.14876289407330706,0.20357493640476643,1.0,0.2789141084405493,0.28204854984723093,0.18580904583473187,0.3569413793797953,0.18954258139663846,0.14006773475849885,0.3074348619673627,0.18644309238778017,0.3028978832258815,0.20341917897608272,0.3404388615724757,0.25814786148964963,0.224014127611543,0.14110367191702725,0.0025873255213366753,0.09549852302046438,0.009885432589461804,0.0827078324551374,0.016327619610285844,0.06845221673628597,0.0053291702011591105,0.0648781132390575,0.04502838012203355
Q015,0.06708924491928782,1.0,0.08361789938013335,0.07108320324947784,0.09582825123303221,0.08845873543357012,0.1307749909493149,0.09289288363803702,0.11344731159772563,0.08817957343371431,0.12416845622477192,0.07446339620757943,0.10313496953716923,0.16332209484214444,0.2789141084405493,1.0,0.21629089338159685,0.2687204676902465,0.23256233908893256,0.11505650745886711,0.11518455441586711,0.18375527943346182,0.09758842592716005,0.13079363283313483,0.11565238000212728,0.13175314488461443,0.1383429877702509,0.12481347018969499,0.08370910188834524,0.004549140710162561,0.06694772078885634,0.019994622490300956,0.024446235019367334,0.007198577374748324,0.032838873574188236,0.003199382299651246,0.054697596544592074,0.03047271720410601
Q016,0.0928920276058654,1.0,0.1489765991508488,0.13200376963346783,0.17493749591830668,0.16588871250657525,0.2309113109647012,0.11170007886717197,0.19233597942961483,0.14416399232049748,0.21744075208411315,0.06259901577575118,0.17874988097684585,0.20779714638788263,0.28204854984723093,0.21629089338159685,1.0,0.22552047348705742,0.36717969068461287,0.2077330485610201,0.16716818963340507,0.30596786691460043,0.17510092957870402,0.29914378541298214,0.20527930447612538,0.3468773064941429,0.2264799094752027,0.20196568512835256,0.15220495986799892,0.004664722534230129,0.10391698542257409,0.010488576496272616,0.08338695656754402,0.016019413648990476,0.056034554020684774,0.005386755100183994,0.06460340575873151,0.04984979280486325
Q017,0.06726894364666053,1.0,0.1053099484873016,0.08201613795742292,0.1213404968945658,0.10998905313115483,0.15932923605638144,0.13603893813162116,0.14951722281790267,0.08165812498788387,0.12109402070738466,0.07238546799821882,0.10508955496802944,0.10994011979373758,0.18580904583473187,0.2687204676902465,0.22552047348705742,1.0,0.20629596592020358,0.11586165433251998,0.09863404615472482,0.16555641706280277,0.0588839920568538,0.1305939593872441,0.12333104738134,0.06880449398878515,0.05380031589289624,0.05529646239452941,0.12281177444706012,0.0037090298142866216,0.08920266102121982,0.008581268811197211,0.020300785385418407,0.009175410794210317,0.03025698400851179,0.00543758750761363,0.04373201599387928,0.0230367018426695
Q018,0.12219861001908129,1.0,0.3367425772028996,0.28187298128723043,0.3617375019586956,0.32414335262369437,0.4904032629215508,0.23020486366208195,0.41740340892986444,0.2771696693541822,0.46399889304493275,0.03953968171770116,0.21632669446106245,0.3512835085983535,0.3569413793797953,0.23256233908893256,0.36717969068461287,0.20629596592020358,1.0,0.4280537436805486,0.2060108580816296,0.33670809842649213,0.3130860622246045,0.3119130484379971,0.42872420082429147,0.22753822765192858,0.40510479496998375,0.36811670691860043,0.31714736123133225,0.008638314664489066,0.18441618711536156,0.029546960576982487,0.05167476022347685,0.03456215469368965,0.05388885198818986,0.011448290344154432,0.14901534580025408,0.0706955218804276
Q019,0.15418196787222127,1.0,0.18796331426036977,0.1609044100888284,0.2213399886337689,0.19997438597924302,0.302074885087851,0.21656699189405984,0.311762539230064,0.233109235372991,0.2643149154552178,0.03580364180635997,0.2039047333557879,0.21404287659554308,0.18954258139663846,0.11505650745886711,0.2077330485610201,0.11586165433251998,0.4280537436805486,1.0,0.2684465502518909,0.4269402211578677,0.2397841208412154,0.33828413492617504,0.2615167326937457,0.26352196046193055,0.1408015581001156,0.12340211328843274,0.23435542059575784,0.010299209535585465,0.16996543022181448,0.04085730009068923,0.06986849052620663,0.0184575761795439,0.08273920496417206,0.010691225620656263,0.10359347233278855,0.08889527801832008
Q020,0.07904578434130158,1.0,0.13298958865395633,0.09791196386360046,0.14878070564260337,0.12748228234226944,0.20112557153601973,0.1326794336776105,0.19639823640020296,0.17217364500112559,0.17277594398868237,0.03823106348406837,0.13478605326657997,0.17919194395469537,0.14006773475849885,0.11518455441586711,0.16716818963340507,0.09863404615472482,0.2060108580816296,0.2684465502518909,1.0,0.1695191629514713,0.20335450689110113,0.13817725975508838,0.20411061495434904,0.0927999927615745,0.13340431826791604,0.12421072807848858,0.12554552432206964,0.0054935417227133816,0.08679876091313993,0.033988367228955894,0.015036095843493287,0.007057595547333818,0.010737342436454163,0.001662910355382866,0.10226249119582859,0.04814695653149543
Q021,0.12011439168698106,1.0,0.3267268296936221,0.2847954282042146,0.36036748287377574,0.33035669374593435,0.46671537153980475,0.2632077095023482,0.38920420649761694,0.26672090823479194,0.371661563742048,0.04618486298615816,0.19501211486796835,0.30087397004654526,0.3074348619673627,0.18375527943346182,0.30596786691460043,0.16555641706280277,0.33670809842649213,0.4269402211578677,0.1695191629514713,1.0,0.3078771417796575,0.3235255018798877,0.3595990774188188,0.2299767573253019,0.26544501445526547,0.24248388387413178,0.3175165264206568,0.005921082033800601,0.19006130600202964,0.04300636401600742,0.05244996008496768,0.027959418012205767,0.03628555826722621,0.013328036803257413,0.1448814287891094,0.06458032690610749
Q022,0.11614277449719984,1.0,0.16560451134806284,0.15264942478682267,0.18468226186353473,0.17263154717397947,0.2685571198654854,0.11060256895259121,0.22120145599426705,0.2587459817812039,0.2322623955129243,0.06241655688177769,0.1343027161831327,0.17322294149649364,0.18644309238778017,0.09758842592716005,0.17510092957870402,0.0588839920568538,0.3130860622246045,0.2397841208412154,0.20335450689110113,0.3078771417796575,1.0,0.24487737162268122,0.2229422484947113,0.37363849851583,0.16745738562753804,0.1137149608376422,0.1433242578851704,0.013610170643860449,0.10770725611417037,0.09048599469717136,0.0968905361838076,0.01287028337875069,0.04761952305984676,0.004713416299806705,0.0923038169557366,0.1094672345045599
Q023,0.06662602693425512,1.0,0.2684644634798255,0.2263591696222982,0.2948224022951416,0.26819493440785164,0.38599758862941286,0.17343587671479585,0.3163532781968891,0.2173345789425121,0.32891544449795435,0.07231948271785042,0.16030884039339943,0.26399329883791295,0.3028978832258815,0.13079363283313483,0.29914378541298214,0.1305939593872441,0.3119130484379971,0.33828413492617504,0.13817725975508838,0.3235255018798877,0.24487737162268122,1.0,0.34735161401219394,0.25580107526781654,0.35798757697956984,0.32869762497373134,0.26550278060312155,0.003733351465038705,0.14810016071995605,0.0470974273683944,0.06806251017285982,0.0297969198820572,0.04528248505404691,0.010046261028963272,0.0774018980546927,0.059904561256431385
Q024,0.12211545753468576,1.0,0.22625169781609167,0.20091260665445243,0.24303575086059906,0.22787738035074406,0.3385695495712253,0.19044785465954184,0.2702157365870118,0.19306664587514524,0.266852460905088,0.03386759588384636,0.138872972232947,0.18890917836368856,0.20341917897608272,0.11565238000212728,0.20527930447612538,0.12333104738134,0.42872420082429147,0.2615167326937457,0.20411061495434904,0.3595990774188188,0.2229422484947113,0.34735161401219394,1.0,0.4504039076787259,0.18357335643463996,0.15175060844505198,0.24945159542836476,0.006350183972061634,0.15986150904519988,0.022590287416313668,0.07017239664570384,0.024030802878446035,0.11024596975012528,0.010134801498388515,0.07631824794437411,0.08478948860788743
Q025,0.06271587800439038,1.0,0.2559374250041225,0.24551238400520656,0.30056060157436676,0.2969164335648602,0.40276310914826224,0.09765194122457681,0.2783854960614942,0.2524649884992524,0.3288148971875743,0.052568323329212074,0.1533464318240562,0.24668237710783508,0.3404388615724757,0.13175314488461443,0.3468773064941429,0.06880449398878515,0.22753822765192858,0.26352196046193055,0.0927999927615745,0.2299767573253019,0.37363849851583,0.25580107526781654,0.4504039076787259,1.0,0.3654512185633285,0.30584467672834004,0.20198679073797587,0.004084665840785551,0.10522981824350086,0.012242266510951958,0.08615617672399424,0.024757377769131627,0.05630052415752602,0.004998800466117623,0.06369644086504869,0.04932417664775769
SG_UF_ESC,1.0,1.0,0.11048882544464045,0.11164213407288018,0.15739682125139234,0.16304497500787207,0.1202417809672317,0.05408997222480495,0.11728075041239198,0.15411169798122218,0.2220983155090558,0.09915148313914819,0.07970193051717565,0.19789098490154713,0.25814786148964963,0.1383429877702509,0.2264799094752027,0.05380031589289624,0.40510479496998375,0.1408015581001156,0.13340431826791604,0.26544501445526547,0.16745738562753804,0.35798757697956984,0.18357335643463996,0.3654512185633285,1.0,0.9875112836799798,0.13235419721849512,0.023609815943250772,0.13780468282547217,0.025949053463806323,0.09058502002275685,0.028119809088266248,0.045004292666467695,0.030586599468885062,1.0,0.07461521189069853
SG_UF_PROVA,0.06348243250211648,1.0,0.08549822800072882,0.0731243723232117,0.1264143371448947,0.12867497021753313,0.09835044289647496,0.04768375937018143,0.09904649495660843,0.11642006042072624,0.1849947481598932,0.10186249257460502,0.07119658591794767,0.1668597117816349,0.224014127611543,0.12481347018969499,0.20196568512835256,0.05529646239452941,0.36811670691860043,0.12340211328843274,0.12421072807848858,0.24248388387413178,0.1137149608376422,0.32869762497373134,0.15175060844505198,0.30584467672834004,0.9875112836799798,1.0,0.1317782621978004,0.02100656856626243,0.10657862533391978,0.03930135066515719,0.09033828606425368,0.024590280360238484,0.03155320297898083,0.0305195467576277,0.08531093114078639,0.05485778241660503
TP_DEPENDENCIA_ADM_ESC,1.0,1.0,0.2585995658113911,0.24324227486091118,0.2837949156446722,0.26454339648887853,0.328579208620924,0.19907824045706426,0.27932226368149593,0.1508393041420899,0.22552279924810753,0.038324879206386935,0.10397509683624247,0.15219263602539548,0.14110367191702725,0.08370910188834524,0.15220495986799892,0.12281177444706012,0.31714736123133225,0.23435542059575784,0.12554552432206964,0.3175165264206568,0.1433242578851704,0.26550278060312155,0.24945159542836476,0.20198679073797587,0.13235419721849512,0.1317782621978004,1.0,0.009215407147992835,0.8498678016271133,0.024574448688534364,0.11684952643876516,0.024669571438119594,0.056689448338611295,0.053670186090575035,1.0,0.1510019001672396
TP_ENSINO,1.0,1.0,0.014626413554531726,0.01693855679709437,0.008604204848239417,0.008581361747796551,0.012453715675891144,0.0032466720057942097,0.008872624639906878,0.011662937352680097,0.011167132238672748,0.003951650811882029,0.005102942648568383,0.009593838345577203,0.0025873255213366753,0.004549140710162561,0.004664722534230129,0.0037090298142866216,0.008638314664489066,0.010299209535585465,0.0054935417227133816,0.005921082033800601,0.013610170643860449,0.003733351465038705,0.006350183972061634,0.004084665840785551,0.023609815943250772,0.02100656856626243,0.009215407147992835,1.0,0.01344702033486457,0.03171910932139663,0.002538859362693287,0.0,0.004355489604921965,0.00314070173822413,0.011845667696963692,0.015411462134645717
TP_ESCOLA,0.2358241531668303,1.0,0.1822229350495328,0.17028117583921895,0.1904160068272517,0.17742010125945246,0.21666365984549088,0.14097814026120623,0.19194171986114142,0.10770957638318457,0.15688452560945798,0.027555804637830958,0.07981901370562297,0.11404839652923882,0.09549852302046438,0.06694772078885634,0.10391698542257409,0.08920266102121982,0.18441618711536156,0.16996543022181448,0.08679876091313993,0.19006130600202964,0.10770725611417037,0.14810016071995605,0.15986150904519988,0.10522981824350086,0.13780468282547217,0.10657862533391978,0.8498678016271133,0.01344702033486457,1.0,0.11444142955583007,0.057416913471901684,0.020277025245530565,0.026820512717628656,0.037668302232572975,0.7071061650314537,0.1595413228437673
TP_ESTADO_CIVIL,0.11037397425738044,1.0,0.08355791295257328,0.10158578218650562,0.04663903401053169,0.05134833278204461,0.03171133329919075,0.022492781450483168,0.03374474637014346,0.06669262515587165,0.030157137327011745,0.019024322723456496,0.01968969145663366,0.04649159622215095,0.009885432589461804,0.019994622490300956,0.010488576496272616,0.008581268811197211,0.029546960576982487,0.04085730009068923,0.033988367228955894,0.04300636401600742,0.09048599469717136,0.0470974273683944,0.022590287416313668,0.012242266510951958,0.025949053463806323,0.03930135066515719,0.024574448688534364,0.03171910932139663,0.11444142955583007,1.0,0.005787550162873909,0.00919633941063481,0.022559869598130774,0.002527751626540299,0.12842552119147202,0.12708368050708485
TP_LOCALIZACAO_ESC,1.0,1.0,0.08710319105731634,0.0757806024822233,0.16490384847807882,0.1633758005305528,0.08640795100806052,0.03128310129423457,0.07146063468777232,0.007761751711527045,0.04874944925023821,0.047138640457312815,0.03599852611326905,0.04252952492182359,0.0827078324551374,0.024446235019367334,0.08338695656754402,0.020300785385418407,0.05167476022347685,0.06986849052620663,0.015036095843493287,0.05244996008496768,0.0968905361838076,0.06806251017285982,0.07017239664570384,0.08615617672399424,0.09058502002275685,0.09033828606425368,0.11684952643876516,0.002538859362693287,0.057416913471901684,0.005787550162873909,1.0,0.0026848743474755386,0.004382025739795279,0.009931536466974719,1.0,0.018165980002342787
TP_NACIONALIDADE,0.011880469706505355,1.0,0.019635246721516755,0.01780404157933479,0.02052854409055293,0.019776692422925648,0.029402560408344068,0.009661902725992096,0.019224935106864637,0.01112236200837084,0.017631531712890124,0.006229704500665746,0.007588896097545001,0.012853399323124345,0.016327619610285844,0.007198577374748324,0.016019413648990476,0.009175410794210317,0.03456215469368965,0.0184575761795439,0.007057595547333818,0.027959418012205767,0.01287028337875069,0.0297969198820572,0.024030802878446035,0.024757377769131627,0.028119809088266248,0.024590280360238484,0.024669571438119594,0.0,0.020277025245530565,0.00919633941063481,0.0026848743474755386,1.0,0.03464563816482563,0.0,0.01346885608277068,0.005902016059947657
TP_SEXO,0.02504853619370131,1.0,0.07199579562666239,0.06992248251370443,0.06520781528646356,0.06430563517106581,0.10617818078469868,0.026513932244463016,0.06257355951889583,0.04693727368743201,0.06896894694038147,0.048242171732283234,0.035477908447699325,0.033161021254874544,0.06845221673628597,0.032838873574188236,0.056034554020684774,0.03025698400851179,0.05388885198818986,0.08273920496417206,0.010737342436454163,0.03628555826722621,0.04761952305984676,0.04528248505404691,0.11024596975012528,0.05630052415752602,0.045004292666467695,0.03155320297898083,0.056689448338611295,0.004355489604921965,0.026820512717628656,0.022559869598130774,0.004382025739795279,0.03464563816482563,1.0,0.005678123274897248,0.026747377182682934,0.0016161937002579555
TP_SIT_FUNC_ESC,1.0,1.0,0.01090536721946943,0.011861175212473884,0.012858984515289789,0.01229869085282251,0.015115472552359333,0.008875420006953743,0.0129408074929232,0.007170826289902185,0.009676134976017828,0.0011640606986752598,0.00596885659866932,0.004519283099252597,0.0053291702011591105,0.003199382299651246,0.005386755100183994,0.00543758750761363,0.011448290344154432,0.010691225620656263,0.001662910355382866,0.013328036803257413,0.004713416299806705,0.010046261028963272,0.010134801498388515,0.004998800466117623,0.030586599468885062,0.0305195467576277,0.053670186090575035,0.00314070173822413,0.037668302232572975,0.002527751626540299,0.009931536466974719,0.0,0.005678123274897248,1.0,1.0,0.006073733850076758
TP_ST_CONCLUSAO,0.9999998037394503,1.0,0.13166712290564286,0.13498018355393415,0.11106385843438112,0.11249641237681068,0.11776116670986397,0.08600562320514597,0.11791189554283273,0.0986820739165971,0.11423843448289467,0.017900125777129034,0.05723096528253088,0.09265899179226038,0.0648781132390575,0.054697596544592074,0.06460340575873151,0.04373201599387928,0.14901534580025408,0.10359347233278855,0.10226249119582859,0.1448814287891094,0.0923038169557366,0.0774018980546927,0.07631824794437411,0.06369644086504869,1.0,0.08531093114078639,1.0,0.011845667696963692,0.7071061650314537,0.12842552119147202,1.0,0.01346885608277068,0.026747377182682934,1.0,1.0,0.20915760035564063
falta,0.10770778495238419,1.0,0.12781097600773683,0.13723814037916843,0.10053134023792168,0.1021744029595709,0.10597505693559044,0.04022975892092194,0.10326197341998304,0.10645465419970405,0.09889310304800307,0.018110232621189198,0.036877900106183685,0.08113826710168347,0.04502838012203355,0.03047271720410601,0.04984979280486325,0.0230367018426695,0.0706955218804276,0.08889527801832008,0.04814695653149543,0.06458032690610749,0.1094672345045599,0.059904561256431385,0.08478948860788743,0.04932417664775769,0.07461521189069853,0.05485778241660503,0.1510019001672396,0.015411462134645717,0.1595413228437673,0.12708368050708485,0.018165980002342787,0.005902016059947657,0.0016161937002579555,0.006073733850076758,0.20915760035564063,1.0
