,IDHM,IDHM Educação,IDHM Renda,IDHM Longevidade,Nome_Município,abstencao
0,0.641,0.526,0.657,0.763,ALTA FLORESTA D'OESTE,55.10204081632652
1,0.702,0.6,0.716,0.806,ARIQUEMES,56.3230605738576
2,0.718,0.62,0.727,0.821,CACOAL,65.03496503496503
3,0.692,0.602,0.688,0.799,CEREJEIRAS,64.4
4,0.685,0.584,0.676,0.814,COLORADO DO OESTE,57.14285714285714
5,0.672,0.536,0.691,0.819,ESPIGÃO D'OESTE,70.98445595854922
6,0.657,0.519,0.663,0.823,GUAJARÁ-MIRIM,52.16637781629117
7,0.689,0.577,0.687,0.825,JARU,68.51119894598156
8,0.714,0.617,0.728,0.81,JI-PARANÁ,60.14134275618375
9,0.596,0.446,0.629,0.755,MACHADINHO D'OESTE,62.00873362445415
10,0.643,0.524,0.664,0.763,NOVA BRASILÂNDIA D'OESTE,67.44186046511628
11,0.682,0.569,0.687,0.812,OURO PRETO DO OESTE,50.84745762711864
12,0.71,0.613,0.726,0.803,PIMENTA BUENO,67.77251184834124
13,0.736,0.638,0.764,0.819,PORTO VELHO,51.53061224489795
14,0.664,0.55,0.671,0.792,PRESIDENTE MÉDICI,55.28846153846154
15,0.591,0.522,0.518,0.762,PRESIDENTE MÉDICI,55.28846153846154
16,0.7,0.598,0.709,0.808,ROLIM DE MOURA,49.7093023255814
17,0.731,0.659,0.734,0.808,VILHENA,67.9022746419545
18,0.646,0.537,0.644,0.781,SÃO MIGUEL DO GUAPORÉ,64.31924882629107
19,0.643,0.534,0.654,0.763,ALVORADA D'OESTE,56.78391959798995
20,0.625,0.457,0.664,0.804,ALTO PARAÍSO,75.42372881355932
21,0.678,0.556,0.677,0.829,ALTO PARAÍSO,75.42372881355932
22,0.616,0.479,0.65,0.751,BURITIS,48.53556485355649
23,0.643,0.494,0.673,0.8,MIRANTE DA SERRA,54.93827160493827
24,0.607,0.454,0.645,0.762,MONTE NEGRO,58.55855855855856
25,0.611,0.462,0.657,0.751,SÃO FRANCISCO DO GUAPORÉ,64.65517241379311
26,0.604,0.466,0.584,0.808,ACRELÂNDIA,49.34210526315789
27,0.614,0.485,0.619,0.77,BRASILÉIA,49.72677595628415
28,0.664,0.582,0.648,0.776,CRUZEIRO DO SUL,33.1041257367387
29,0.713,0.641,0.682,0.828,CRUZEIRO DO SUL,33.1041257367387
30,0.723,0.607,0.746,0.833,CRUZEIRO DO SUL,33.1041257367387
31,0.653,0.553,0.654,0.771,EPITACIOLÂNDIA,51.06382978723404
32,0.539,0.388,0.559,0.723,FEIJÓ,41.91176470588236
33,0.469,0.283,0.499,0.731,JORDÃO,47.82608695652174
34,0.625,0.546,0.58,0.77,MÂNCIO LIMA,37.67123287671233
35,0.501,0.361,0.479,0.726,MARECHAL THAUMATURGO,49.09090909090909
36,0.622,0.517,0.593,0.786,PLÁCIDO DE CASTRO,42.70833333333333
37,0.532,0.397,0.521,0.726,PORTO WALTER,39.02439024390244
38,0.727,0.661,0.729,0.798,RIO BRANCO,34.26162493612672
39,0.707,0.617,0.701,0.817,RIO BRANCO,34.26162493612672
40,0.517,0.34,0.519,0.781,SANTA ROSA DO PURUS,50.0
41,0.64,0.513,0.649,0.786,SENADOR GUIOMARD,42.94478527607362
42,0.603,0.456,0.593,0.81,SENA MADUREIRA,35.68075117370892
43,0.539,0.392,0.554,0.72,TARAUACÁ,41.17647058823529
44,0.599,0.448,0.621,0.773,XAPURI,41.34615384615385
45,0.576,0.418,0.593,0.771,PORTO ACRE,43.103448275862064
46,0.527,0.377,0.499,0.778,ALVARÃES,70.24793388429752
47,0.594,0.526,0.537,0.741,ANAMÃ,70.0
48,0.561,0.433,0.54,0.757,ANORI,37.735849056603776
49,0.637,0.54,0.621,0.772,APUÍ,60.3960396039604
50,0.577,0.446,0.539,0.799,AUTAZES,86.71875
51,0.5,0.315,0.545,0.728,BARCELOS,72.02380952380952
52,0.574,0.522,0.469,0.774,BARREIRINHA,70.8185053380783
53,0.574,0.471,0.526,0.763,BENJAMIN CONSTANT,69.33962264150944
54,0.506,0.346,0.512,0.731,BERURI,77.19298245614034
55,0.565,0.484,0.496,0.75,BOA VISTA DO RAMOS,74.65277777777779
56,0.588,0.455,0.576,0.777,BOCA DO ACRE,100.0
57,0.56,0.425,0.532,0.776,BORBA,83.16831683168317
58,0.569,0.436,0.544,0.775,CAAPIRANGA,75.73529411764706
59,0.53,0.379,0.522,0.752,CANUTAMA,55.35714285714286
60,0.549,0.416,0.534,0.745,CARAUARI,73.23420074349443
61,0.557,0.431,0.515,0.779,CAREIRO,88.37719298245614
62,0.568,0.45,0.523,0.779,CAREIRO DA VÁRZEA,75.14124293785311
63,0.586,0.425,0.606,0.78,COARI,63.83720930232558
64,0.563,0.421,0.546,0.775,CODAJÁS,84.42906574394463
65,0.563,0.431,0.548,0.756,EIRUNEPÉ,60.629921259842526
66,0.509,0.349,0.521,0.727,ENVIRA,80.55555555555556
67,0.53,0.4,0.518,0.719,FONTE BOA,74.27184466019418
68,0.605,0.451,0.621,0.791,HUMAITÁ,60.66536203522504
69,0.738,0.657,0.732,0.837,HUMAITÁ,60.66536203522504
70,0.481,0.302,0.476,0.772,IPIXUNA,57.35294117647059
71,0.613,0.476,0.607,0.799,IRANDUBA,63.63636363636363
72,0.644,0.534,0.618,0.811,ITACOATIARA,66.68839634941331
73,0.477,0.266,0.529,0.772,ITAMARATI,63.1578947368421
74,0.654,0.594,0.594,0.792,ITAPIRANGA,34.519572953736656
75,0.775,0.723,0.766,0.842,ITAPIRANGA,34.519572953736656
76,0.522,0.345,0.552,0.748,JAPURÁ,77.21518987341773
77,0.712,0.623,0.698,0.829,JAPURÁ,77.21518987341773
78,0.516,0.34,0.528,0.766,JUTAÍ,77.37226277372264
79,0.531,0.374,0.538,0.744,LÁBREA,55.11811023622048
80,0.614,0.481,0.604,0.795,MANACAPURU,72.47191011235955
81,0.596,0.51,0.556,0.748,MANAQUIRI,81.48148148148148
82,0.737,0.658,0.738,0.826,MANAUS,54.503213815534735
83,0.582,0.456,0.58,0.747,MANICORÉ,77.9783393501805
84,0.498,0.348,0.466,0.763,MARAÃ,86.29032258064517
85,0.588,0.464,0.549,0.8,MAUÉS,67.48878923766816
86,0.586,0.503,0.513,0.779,NHAMUNDÁ,76.30522088353415
87,0.558,0.412,0.541,0.78,NOVA OLINDA DO NORTE,75.0733137829912
88,0.57,0.434,0.551,0.776,NOVO AIRÃO,77.55905511811024
89,0.554,0.421,0.532,0.759,NOVO ARIPUANÃ,68.42105263157895
90,0.658,0.605,0.589,0.8,PARINTINS,65.11169513797634
91,0.496,0.317,0.531,0.724,PAUINI,83.07692307692308
92,0.647,0.538,0.627,0.802,PRESIDENTE FIGUEIREDO,64.76964769647697
93,0.611,0.493,0.59,0.785,RIO PRETO DA EVA,69.95515695067265
94,0.479,0.323,0.461,0.737,SANTA ISABEL DO RIO NEGRO,67.56756756756756
95,0.49,0.353,0.438,0.759,SANTO ANTÔNIO DO IÇÁ,71.9047619047619
96,0.609,0.476,0.61,0.777,SÃO GABRIEL DA CACHOEIRA,59.92063492063492
97,0.521,0.386,0.471,0.78,SÃO PAULO DE OLIVENÇA,64.35643564356435
98,0.632,0.584,0.546,0.791,SILVES,67.45098039215686
99,0.616,0.505,0.602,0.769,TABATINGA,59.04255319148937
100,0.704,0.609,0.7,0.818,TABATINGA,59.04255319148937
101,0.502,0.355,0.512,0.694,TAPAUÁ,43.15789473684211
102,0.639,0.511,0.637,0.801,TEFÉ,77.08333333333334
103,0.548,0.416,0.508,0.779,TONANTINS,84.65608465608466
104,0.527,0.378,0.535,0.724,UARINI,81.61764705882352
105,0.62,0.575,0.551,0.754,URUCARÁ,70.65868263473054
106,0.588,0.487,0.538,0.776,URUCURITUBA,74.32432432432432
107,0.542,0.379,0.518,0.813,ALTO ALEGRE,53.2258064516129
108,0.7,0.616,0.683,0.817,ALTO ALEGRE,53.2258064516129
109,0.747,0.642,0.756,0.859,ALTO ALEGRE,53.2258064516129
110,0.752,0.708,0.737,0.816,BOA VISTA,48.3125
111,0.649,0.582,0.59,0.796,BOA VISTA,48.3125
112,0.626,0.509,0.597,0.809,BONFIM,51.16279069767442
113,0.624,0.518,0.601,0.78,CARACARAÍ,72.22222222222221
114,0.582,0.434,0.56,0.81,IRACEMA,57.00483091787439
115,0.652,0.632,0.597,0.733,IRACEMA,57.00483091787439
116,0.665,0.547,0.661,0.813,MUCAJAÍ,47.674418604651166
117,0.619,0.519,0.574,0.798,RORAINÓPOLIS,50.326797385620914
118,0.655,0.587,0.614,0.78,SÃO JOÃO DA BALIZA,51.85185185185185
119,0.628,0.537,0.579,0.798,ABAETETUBA,31.782945736434108
120,0.506,0.332,0.517,0.757,ACARÁ,42.2360248447205
121,0.564,0.436,0.529,0.779,ALENQUER,44.20289855072464
122,0.642,0.497,0.659,0.809,ALMEIRIM,63.565891472868216
123,0.665,0.548,0.662,0.811,ALTAMIRA,37.97150041911148
124,0.484,0.29,0.506,0.774,ANAJÁS,45.94594594594595
125,0.718,0.658,0.684,0.821,ANANINDEUA,34.00261894369271
126,0.52,0.38,0.48,0.772,AUGUSTO CORRÊA,50.79365079365079
127,0.519,0.358,0.504,0.773,AURORA DO PARÁ,33.33333333333333
128,0.578,0.467,0.538,0.77,BAIÃO,34.48275862068966
129,0.662,0.564,0.643,0.801,BARCARENA,39.33649289099526
130,0.746,0.673,0.751,0.822,BELÉM,30.64233064233064
131,0.592,0.492,0.557,0.759,BELÉM,30.64233064233064
132,0.593,0.464,0.587,0.764,BELÉM,30.64233064233064
133,0.665,0.592,0.623,0.798,BENEVIDES,49.17197452229299
134,0.546,0.398,0.531,0.77,BONITO,64.52599388379205
135,0.561,0.42,0.559,0.754,BONITO,64.52599388379205
136,0.561,0.467,0.552,0.685,BONITO,64.52599388379205
137,0.67,0.508,0.714,0.831,BONITO,64.52599388379205
138,0.6,0.486,0.589,0.755,BRAGANÇA,36.81043129388165
139,0.568,0.422,0.555,0.781,BREU BRANCO,50.0
140,0.503,0.312,0.524,0.778,BREVES,35.909822866344605
141,0.552,0.437,0.495,0.779,BUJARU,32.515337423312886
142,0.577,0.474,0.538,0.754,CAMETÁ,28.61111111111111
143,0.673,0.569,0.67,0.801,CANAÃ DOS CARAJÁS,45.47872340425532
144,0.655,0.58,0.61,0.794,CAPANEMA,35.207612456747405
145,0.706,0.611,0.719,0.801,CAPANEMA,35.207612456747405
146,0.548,0.385,0.573,0.747,CAPITÃO POÇO,36.36363636363637
147,0.673,0.582,0.654,0.8,CASTANHAL,36.30705394190871
148,0.64,0.54,0.631,0.77,CONCEIÇÃO DO ARAGUAIA,36.016096579476866
149,0.566,0.438,0.56,0.741,CONCÓRDIA DO PARÁ,35.19553072625698
150,0.502,0.323,0.508,0.769,CURRALINHO,45.6953642384106
151,0.582,0.48,0.542,0.758,CURUÇÁ,55.52631578947368
152,0.615,0.502,0.606,0.763,DOM ELISEU,46.590909090909086
153,0.583,0.437,0.573,0.792,FLORESTA DO ARAGUAIA,52.33644859813084
154,0.56,0.404,0.585,0.743,GOIANÉSIA DO PARÁ,57.72357723577236
155,0.595,0.49,0.579,0.743,IGARAPÉ-AÇU,40.845070422535215
156,0.547,0.413,0.514,0.77,IGARAPÉ-MIRI,35.88235294117647
157,0.64,0.51,0.644,0.8,ITAITUBA,50.0709219858156
158,0.528,0.364,0.543,0.746,ITUPIRANGA,48.21428571428572
159,0.622,0.509,0.628,0.752,JACUNDÁ,33.33333333333333
160,0.592,0.501,0.547,0.756,JURUTI,48.466257668711656
161,0.541,0.425,0.493,0.754,LIMOEIRO DO AJURU,40.123456790123456
162,0.599,0.458,0.615,0.763,MÃE DO RIO,39.202657807308974
163,0.668,0.564,0.673,0.785,MARABÁ,35.936898807233554
164,0.676,0.628,0.621,0.793,MARITUBA,41.11111111111111
165,0.575,0.467,0.539,0.754,MOCAJUBA,38.88888888888889
166,0.547,0.375,0.578,0.757,MOJU,44.13965087281795
167,0.589,0.495,0.541,0.764,MONTE ALEGRE,42.71653543307087
168,0.609,0.507,0.578,0.77,MONTE ALEGRE,42.71653543307087
169,0.673,0.519,0.709,0.828,NOVO PROGRESSO,62.5
170,0.537,0.376,0.557,0.741,NOVO REPARTIMENTO,47.417840375586856
171,0.594,0.499,0.556,0.756,ÓBIDOS,45.033112582781456
172,0.507,0.344,0.502,0.754,OEIRAS DO PARÁ,36.22047244094488
173,0.623,0.52,0.599,0.778,ORIXIMINÁ,50.66666666666667
174,0.568,0.438,0.575,0.727,OURÉM,32.52032520325203
175,0.515,0.338,0.541,0.746,PACAJÁ,53.125
176,0.645,0.514,0.667,0.781,PARAGOMINAS,38.111490329920365
177,0.715,0.644,0.701,0.809,PARAUAPEBAS,45.648414985590776
178,0.562,0.412,0.558,0.773,PONTA DE PEDRAS,37.362637362637365
179,0.483,0.286,0.513,0.767,PORTEL,48.67924528301887
180,0.503,0.322,0.512,0.77,PORTO DE MOZ,50.53191489361703
181,0.523,0.359,0.512,0.779,PRAINHA,48.52941176470589
182,0.672,0.561,0.674,0.804,REDENÇÃO,47.09784411276949
183,0.626,0.577,0.567,0.75,REDENÇÃO,47.09784411276949
184,0.602,0.457,0.606,0.788,RONDON DO PARÁ,39.44223107569721
185,0.548,0.392,0.548,0.764,RURÓPOLIS,58.490566037735846
186,0.647,0.541,0.628,0.798,SALINÓPOLIS,42.85714285714285
187,0.608,0.488,0.58,0.793,SALVATERRA,40.909090909090914
188,0.602,0.478,0.591,0.774,SANTANA DO ARAGUAIA,64.39393939393939
189,0.691,0.648,0.632,0.807,SANTARÉM,39.18057663125949
190,0.622,0.568,0.553,0.765,SANTARÉM,39.18057663125949
191,0.532,0.382,0.509,0.773,SÃO DOMINGOS DO CAPIM,32.10526315789474
192,0.594,0.411,0.638,0.798,SÃO FÉLIX DO XINGU,63.42592592592593
193,0.595,0.447,0.594,0.793,SÃO GERALDO DO ARAGUAIA,46.44549763033176
194,0.591,0.471,0.582,0.752,SÃO MIGUEL DO GUAMÁ,38.91891891891892
195,0.558,0.439,0.52,0.76,SÃO SEBASTIÃO DA BOA VISTA,33.83084577114428
196,0.615,0.525,0.583,0.76,SOURE,28.07017543859649
197,0.588,0.45,0.583,0.776,TAILÂNDIA,55.88235294117647
198,0.586,0.424,0.596,0.798,TOMÉ-AÇU,38.85714285714285
199,0.659,0.525,0.67,0.813,TUCUMÃ,47.506561679790025
200,0.666,0.548,0.675,0.8,TUCURUÍ,34.69387755102041
201,0.589,0.42,0.609,0.798,URUARÁ,54.40414507772021
202,0.617,0.516,0.594,0.768,VIGIA,40.84249084249084
203,0.646,0.503,0.671,0.8,XINGUARA,45.911949685534594
204,0.642,0.532,0.631,0.79,AMAPÁ,63.934426229508205
205,0.665,0.573,0.641,0.801,LARANJAL DO JARI,46.51162790697674
206,0.733,0.663,0.723,0.82,MACAPÁ,39.265850945495
207,0.592,0.449,0.609,0.758,MAZAGÃO,52.77777777777778
208,0.658,0.527,0.693,0.779,OIAPOQUE,49.64028776978417
209,0.64,0.554,0.61,0.777,PORTO GRANDE,55.68181818181818
210,0.692,0.638,0.654,0.794,SANTANA,38.32684824902724
211,0.608,0.496,0.585,0.776,SANTANA,38.32684824902724
212,0.592,0.473,0.553,0.794,TARTARUGALZINHO,47.540983606557376
213,0.708,0.623,0.677,0.843,ALVORADA,46.928746928746925
214,0.699,0.564,0.694,0.874,ALVORADA,46.928746928746925
215,0.671,0.605,0.621,0.804,ANANÁS,50.0
216,0.752,0.712,0.727,0.821,ARAGUAÍNA,47.75545104745618
217,0.604,0.473,0.617,0.756,ARAGUANÃ,59.61538461538461
218,0.533,0.444,0.483,0.706,ARAGUANÃ,59.61538461538461
219,0.631,0.525,0.604,0.793,ARAGUATINS,47.48603351955308
220,0.68,0.601,0.645,0.81,ARAPOEMA,51.42857142857142
221,0.651,0.523,0.636,0.829,ARRAIAS,49.06542056074766
222,0.67,0.619,0.614,0.793,AUGUSTINÓPOLIS,59.02335456475584
223,0.686,0.619,0.635,0.82,BREJINHO DE NAZARÉ,70.83333333333334
224,0.627,0.59,0.548,0.762,CACHOEIRINHA,42.4812030075188
225,0.579,0.439,0.587,0.753,CACHOEIRINHA,42.4812030075188
226,0.757,0.675,0.749,0.857,CACHOEIRINHA,42.4812030075188
227,0.701,0.614,0.69,0.814,COLINAS DO TOCANTINS,55.223880597014926
228,0.673,0.57,0.663,0.805,CRISTALÂNDIA,57.29166666666666
229,0.701,0.624,0.673,0.822,DIANÓPOLIS,60.0
230,0.57,0.524,0.495,0.715,ESPERANTINA,43.125
231,0.605,0.497,0.579,0.769,ESPERANTINA,43.125
232,0.67,0.587,0.64,0.801,FORMOSO DO ARAGUAIA,54.22885572139303
233,0.741,0.67,0.724,0.839,GUARAÍ,48.0
234,0.759,0.706,0.736,0.843,GURUPI,55.72782084409992
235,0.62,0.518,0.576,0.797,IPUEIRAS,43.687374749499
236,0.573,0.479,0.534,0.735,IPUEIRAS,43.687374749499
237,0.612,0.491,0.585,0.798,ITACAJÁ,59.60591133004927
238,0.675,0.573,0.673,0.798,LAJEADO,45.0
239,0.778,0.704,0.796,0.84,LAJEADO,45.0
240,0.684,0.579,0.675,0.82,MIRACEMA DO TOCANTINS,42.64069264069264
241,0.673,0.556,0.646,0.847,NATIVIDADE,63.63636363636363
242,0.73,0.683,0.707,0.806,NATIVIDADE,63.63636363636363
243,0.643,0.576,0.584,0.792,NAZARÉ,37.38738738738739
244,0.641,0.532,0.637,0.777,NAZARÉ,37.38738738738739
245,0.631,0.535,0.614,0.765,NOVA OLINDA,50.12468827930174
246,0.625,0.554,0.567,0.779,NOVA OLINDA,50.12468827930174
247,0.573,0.453,0.557,0.744,NOVA OLINDA,50.12468827930174
248,0.639,0.53,0.618,0.797,NOVO ACORDO,42.3728813559322
249,0.673,0.571,0.652,0.817,PALMEIRÓPOLIS,51.31578947368421
250,0.764,0.706,0.759,0.831,PARAÍSO DO TOCANTINS,52.26519337016574
251,0.732,0.664,0.699,0.846,PEDRO AFONSO,65.37467700258398
252,0.674,0.555,0.679,0.812,PEIXE,52.12765957446809
253,0.74,0.701,0.699,0.826,PORTO NACIONAL,45.169082125603865
254,0.616,0.482,0.604,0.804,SANTA FÉ DO ARAGUAIA,49.26470588235294
255,0.604,0.526,0.55,0.762,SÍTIO NOVO DO TOCANTINS,55.55555555555556
256,0.634,0.497,0.628,0.818,TAGUATINGA,52.820512820512825
257,0.788,0.749,0.789,0.827,PALMAS,40.51255500906032
258,0.66,0.505,0.687,0.827,PALMAS,40.51255500906032
259,0.681,0.623,0.634,0.801,TOCANTINÓPOLIS,39.84375
260,0.638,0.561,0.619,0.748,WANDERLÂNDIA,61.875
261,0.671,0.57,0.648,0.818,XAMBIOÁ,52.5
262,0.672,0.602,0.643,0.785,AÇAILÂNDIA,37.27678571428572
263,0.573,0.475,0.525,0.753,ALCÂNTARA,36.734693877551024
264,0.555,0.441,0.541,0.716,AMARANTE DO MARANHÃO,41.089108910891085
265,0.581,0.492,0.523,0.762,ANAJATUBA,59.70149253731343
266,0.521,0.402,0.497,0.709,ARAIOSES,48.64864864864865
267,0.512,0.365,0.525,0.701,ARAME,53.23741007194245
268,0.626,0.546,0.587,0.764,ARARI,38.71733966745843
269,0.651,0.591,0.619,0.753,BACABAL,40.97345132743363
270,0.578,0.484,0.54,0.737,BACURI,42.44897959183673
271,0.687,0.597,0.674,0.807,BALSAS,41.067457375833946
272,0.592,0.484,0.578,0.743,BARÃO DE GRAJAÚ,48.71794871794872
273,0.606,0.498,0.585,0.763,BARRA DO CORDA,47.474747474747474
274,0.57,0.479,0.515,0.752,BARREIRINHAS,45.662100456621005
275,0.601,0.561,0.51,0.757,BEQUIMÃO,47.61904761904761
276,0.538,0.4,0.519,0.75,BOM JARDIM,44.916540212443095
277,0.602,0.515,0.552,0.767,BOM JARDIM,44.916540212443095
278,0.66,0.503,0.707,0.809,BOM JARDIM,44.916540212443095
279,0.562,0.454,0.517,0.758,BREJO,40.55299539170507
280,0.59,0.506,0.539,0.752,BURITI BRAVO,40.55944055944056
281,0.556,0.455,0.533,0.708,BURITICUPU,41.51696606786427
282,0.634,0.529,0.6,0.802,CAROLINA,55.1094890510949
283,0.574,0.476,0.533,0.747,CARUTAPERA,52.88135593220339
284,0.624,0.543,0.595,0.753,CAXIAS,38.49475632325725
285,0.604,0.517,0.554,0.77,CHAPADINHA,33.84146341463415
286,0.595,0.492,0.568,0.754,CODÓ,35.853379152348225
287,0.564,0.454,0.544,0.728,COELHO NETO,40.41095890410959
288,0.596,0.524,0.571,0.709,COLINAS,38.07829181494662
289,0.765,0.678,0.786,0.84,COLINAS,38.07829181494662
290,0.576,0.475,0.545,0.737,COROATÁ,47.47663551401869
291,0.612,0.525,0.568,0.768,CURURUPU,45.25862068965517
292,0.622,0.545,0.582,0.759,DOM PEDRO,45.77259475218659
293,0.586,0.503,0.561,0.713,ESPERANTINÓPOLIS,46.60633484162896
294,0.659,0.536,0.666,0.8,ESTREITO,40.52863436123348
295,0.556,0.459,0.485,0.774,FORMOSA DA SERRA NEGRA,32.314410480349345
296,0.569,0.472,0.54,0.722,GOVERNADOR NUNES FREIRE,63.125
297,0.609,0.497,0.603,0.754,GRAJAÚ,50.625
298,0.535,0.455,0.443,0.759,HUMBERTO DE CAMPOS,50.349650349650354
299,0.546,0.472,0.475,0.727,ICATU,42.08860759493671
300,0.731,0.698,0.697,0.803,IMPERATRIZ,37.62938230383973
301,0.599,0.539,0.534,0.747,ITAPECURU MIRIM,59.15750915750916
302,0.63,0.545,0.601,0.764,ITINGA DO MARANHÃO,33.33333333333333
303,0.641,0.573,0.585,0.785,JOÃO LISBOA,34.104046242774565
304,0.589,0.502,0.561,0.724,LAGO DA PEDRA,46.32911392405064
305,0.582,0.501,0.546,0.719,MARACAÇUMÉ,41.48148148148148
306,0.619,0.56,0.579,0.731,MATINHA,31.606217616580317
307,0.622,0.582,0.546,0.756,MIRINZAL,47.953216374269005
308,0.575,0.486,0.534,0.732,MONTES ALTOS,62.85714285714285
309,0.724,0.739,0.646,0.796,PAÇO DO LUMIAR,30.364372469635622
310,0.542,0.416,0.504,0.758,PARNARAMA,40.41297935103245
311,0.682,0.621,0.644,0.792,PEDREIRAS,36.070381231671554
312,0.554,0.472,0.519,0.693,PENALVA,54.01459854014598
313,0.633,0.592,0.568,0.755,PINDARÉ-MIRIM,51.81818181818182
314,0.637,0.579,0.579,0.771,PINHEIRO,43.47305389221557
315,0.541,0.408,0.535,0.727,PIO XII,39.21568627450981
316,0.684,0.606,0.664,0.796,PORTO FRANCO,35.67251461988304
317,0.653,0.563,0.628,0.788,PRESIDENTE DUTRA,42.24924012158054
318,0.614,0.553,0.572,0.73,PRESIDENTE DUTRA,42.24924012158054
319,0.626,0.587,0.568,0.735,RAPOSA,37.38317757009346
320,0.632,0.592,0.566,0.752,ROSÁRIO,40.63205417607224
321,0.571,0.471,0.531,0.746,SANTA HELENA,53.16455696202531
322,0.609,0.504,0.57,0.786,SANTA HELENA,53.16455696202531
323,0.744,0.678,0.738,0.823,SANTA HELENA,53.16455696202531
324,0.727,0.653,0.705,0.833,SANTA HELENA,53.16455696202531
325,0.674,0.615,0.633,0.788,SANTA INÊS,41.45854145854146
326,0.572,0.492,0.54,0.706,SANTA INÊS,41.45854145854146
327,0.574,0.47,0.571,0.704,SANTA INÊS,41.45854145854146
328,0.717,0.659,0.675,0.827,SANTA INÊS,41.45854145854146
329,0.55,0.452,0.525,0.7,SANTA LUZIA,40.87947882736157
330,0.682,0.635,0.62,0.804,SANTA LUZIA,40.87947882736157
331,0.556,0.396,0.564,0.768,SANTA LUZIA,40.87947882736157
332,0.599,0.51,0.583,0.723,SANTA LUZIA DO PARUÁ,41.87725631768953
333,0.609,0.551,0.553,0.743,SANTA RITA,39.6039603960396
334,0.627,0.534,0.597,0.774,SANTA RITA,39.6039603960396
335,0.602,0.545,0.525,0.762,SÃO BENTO,51.68539325842697
336,0.58,0.424,0.597,0.769,SÃO BENTO,51.68539325842697
337,0.572,0.479,0.514,0.762,SÃO BERNARDO,47.8330658105939
338,0.582,0.504,0.549,0.713,SÃO DOMINGOS DO MARANHÃO,46.55737704918032
339,0.609,0.542,0.554,0.753,SÃO JOÃO DO PARAÍSO,38.49765258215962
